timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
melania-meme,Melania Meme,melania,2025-02-12T10:39:53.713557,213324753,48597763,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,256,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T10:39:53.713557,212572525,141493482,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,947,344.60093896713613
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T10:39:53.713557,172081056,50454151,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,565,-36.445444319460066
griffain,GRIFFAIN,griffain,2025-02-12T10:39:53.713557,142700389,46082645,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,713,7.541478129713424
book-of-meme,BOOK OF MEME,bome,2025-02-12T10:39:53.713557,138981578,52207964,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,493,-47.77542372881356
zignaly,ZIGChain,zig,2025-02-12T10:39:53.713557,130808841,5827926,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,155,-82.12226066897347
tars-protocol,TARS AI,tai,2025-02-12T10:39:53.713557,114712106,4513349,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,212,-60.594795539033456
2025-02-12T11:33:15.394764,ai16z,ai16z,ai16z,543923942,332428925,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T11:33:15.394764,ai-rig-complex,AI Rig Complex,arc,306125792,139245967,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-12T11:33:15.394764,melania-meme,Melania Meme,melania,215248716,49131580,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-12T11:33:15.394764,aixbt,aixbt by Virtuals,aixbt,213528924,139211611,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,600,-20.634920634920633
2025-02-12T11:33:15.394764,act-i-the-ai-prophecy,Act I The AI Prophecy,act,173413915,50485020,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,282,-51.21107266435986
2025-02-12T11:33:15.394764,griffain,GRIFFAIN,griffain,145536382,45877116,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,834,250.42016806722688
2025-02-12T11:33:15.394764,book-of-meme,BOOK OF MEME,bome,140193307,55213542,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,496,-35.50065019505852
2025-02-12T11:33:15.394764,zignaly,ZIGChain,zig,130599874,5913011,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,156,8.333333333333332
2025-02-12T11:33:15.394764,tars-protocol,TARS AI,tai,114865611,4430617,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,425,-52.672605790645875
ai16z,ai16z,ai16z,2025-02-12T11:39:59.811275,545435494,332557642,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T11:39:59.811275,309271122,139421458,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-12T11:39:59.811275,214886700,48347200,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,-100.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T11:39:59.811275,213610862,138473260,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,892,-5.807814149947202
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T11:39:59.811275,173339996,50436053,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,785,38.93805309734513
griffain,GRIFFAIN,griffain,2025-02-12T11:39:59.811275,146177177,45742462,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,590,-17.251051893408135
