timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
2025-02-12T20:34:47.620045,book-of-meme,BOOK OF MEME,bome,146678482,77258774,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,492,-9.89010989010989
2025-02-12T20:34:47.620045,zignaly,ZIGChain,zig,134376290,14033515,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,273,-20.869565217391305
2025-02-12T20:34:47.620045,tars-protocol,TARS AI,tai,121745316,5150108,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,216,-71.08433734939759
ai16z,ai16z,ai16z,2025-02-12T20:41:27.794286,541724881,339278244,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T20:41:27.794286,328993706,176066077,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
melania-meme,Melania Meme,melania,2025-02-12T20:41:27.794286,213323375,57141952,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-12T20:41:27.794286,208282183,149758017,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,-100.0
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-12T20:41:27.794286,182635274,66084344,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,143,-77.44479495268138
griffain,GRIFFAIN,griffain,2025-02-12T20:41:27.794286,147812352,47223047,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,242,-62.18749999999999
book-of-meme,BOOK OF MEME,bome,2025-02-12T20:41:27.794286,145719089,77200589,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,540,12.97071129707113
zignaly,ZIGChain,zig,2025-02-12T20:41:27.794286,134532675,14106776,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,117,-74.0
tars-protocol,TARS AI,tai,2025-02-12T20:41:27.794286,120633403,5157436,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,693,23.97137745974955
2025-02-13T00:14:16.314420,ai16z,ai16z,ai16z,591053568,350806692,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-13T00:14:16.314420,ai-rig-complex,AI Rig Complex,arc,415543945,222306827,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,-100.0
2025-02-13T00:14:16.314420,aixbt,aixbt by Virtuals,aixbt,220429216,155711813,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
2025-02-13T00:14:16.314420,melania-meme,Melania Meme,melania,214634610,58526619,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,-100.0
2025-02-13T00:14:16.314420,act-i-the-ai-prophecy,Act I The AI Prophecy,act,188756446,74058012,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,571,-36.201117318435756
2025-02-13T00:14:16.314420,griffain,GRIFFAIN,griffain,180757954,57886560,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,299,-55.30642750373692
2025-02-13T00:14:16.314420,book-of-meme,BOOK OF MEME,bome,154644435,89698895,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,562,14.227642276422763
2025-02-13T00:14:16.314420,zignaly,ZIGChain,zig,134194804,16505226,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,716,162.27106227106228
2025-02-13T00:14:16.314420,tars-protocol,TARS AI,tai,124501520,5274259,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,572,164.8148148148148
